Full name,Session,Mouse,Date,Session type,Cohort,Timing of ABA,ABA phenotype,Learnt R1 within 20 sessions?,Resistant rats to exclude,Non-learners to exclude,Sessions to exclude,Sessions post-criterion,Sessions to exclude for time spent in arena,Grooming (total duration in secs),Inactive (total duration in secs),Investigating (total duration in secs),Locomote (total duration in secs),Rearing (total duration in secs),Rotate body (total duration in secs),Grooming (bout frequency),Inactive (bout frequency),Investigating (bout frequency),Locomote (bout frequency),Rearing (bout frequency),Rotate body (bout frequency)
Black 0 Session 1 (2021-08-13),Session 1,Black 0,2021-08-13,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,Exclude,9.299999999999999,491.73333333333346,457.56666666666644,90.53333333333336,307.1,159.26666666666674,7,113,161,102,120,149
Black 0 Session 1 (2021-08-16),Session 1,Black 0,2021-08-16,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,31.766666666666662,535.6999999999998,686.9666666666667,91.10000000000002,116.03333333333337,333.9333333333334,13,180,233,97,80,194
Black 0 Session 1 (2021-08-17),Session 1,Black 0,2021-08-17,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,17.166666666666664,541.2333333333332,341.03333333333336,70.1666666666667,243.26666666666665,240.3333333333333,6,155,117,67,99,162
Black 0 Session 1 (2021-08-18),Session 1,Black 0,2021-08-18,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,14.433333333333334,362.83333333333326,833.9333333333333,99.96666666666668,184.23333333333335,261.50000000000006,8,130,165,114,89,180
Black 0 Session 1 (2021-08-19),Session 1,Black 0,2021-08-19,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,37.26666666666666,1023.6333333333331,456.20000000000016,66.80000000000001,80.36666666666669,174.53333333333336,18,140,136,77,54,131
Black 0 Session 1 (2021-09-20),Session 1,Black 0,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,24.1,616.6000000000004,484.40000000000026,143.2333333333333,152.13333333333338,418.23333333333346,14,190,235,166,87,323
Black 0 Session 1 (2021-09-22),Session 1,Black 0,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,18.133333333333333,764.0666666666668,515.3999999999997,45.73333333333333,204.7333333333333,286.93333333333317,8,229,212,53,70,244
Black 0 Session 1 (2021-09-29),Session 1,Black 0,2021-09-29,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,22.933333333333337,898.0,607.6333333333332,23.56666666666666,46.6,228.86666666666676,16,171,155,27,30,151
Black 0 Session 1 (2021-09-30),Session 1,Black 0,2021-09-30,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,87.63333333333333,1197.833333333334,356.86666666666673,28.900000000000002,31.499999999999996,142.76666666666674,27,136,94,29,23,111
Black 0 Session 1 (2021-10-02),Session 1,Black 0,2021-10-02,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,65.8,951.7666666666671,259.6,16.633333333333333,74.03333333333333,196.26666666666668,17,137,99,17,35,120
Black 0 Session 1 (2021-10-03),Session 1,Black 0,2021-10-03,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,146.60000000000005,1430.1,75.13333333333334,0.7,51.93333333333334,63.83333333333333,33,95,26,1,13,50
Black 0 Session 1 (2021-10-04),Session 1,Black 0,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,89.13333333333334,1296.4666666666672,277.23333333333346,1.4333333333333333,49.7,97.63333333333343,25,123,61,2,14,81
Black 0 Session 1 (2021-10-05),Session 1,Black 0,2021-10-05,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,121.16666666666667,1111.0,340.70000000000005,2.1666666666666665,46.300000000000004,148.96666666666664,37,161,80,2,19,104
Black 0 Session 1 (2021-10-06),Session 1,Black 0,2021-10-06,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,32.4,1374.4666666666667,198.90000000000003,3.5666666666666664,56.03333333333334,73.43333333333334,17,116,57,4,15,61
Black 0 Session 1 (2021-11-03),Session 1,Black 0,2021-11-03,PD,Cohort 3,Before ABA,Susceptible,Yes,,,,,,30.23333333333333,382.3333333333332,550.2333333333332,69.06666666666668,178.63333333333344,235.9999999999999,11,112,135,85,94,195
Black 0 Session 1 (2021-11-05),Session 1,Black 0,2021-11-05,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,,,5.366666666666667,940.9999999999998,263.03333333333336,34.93333333333333,225.19999999999993,207.46666666666664,4,220,129,49,109,206
Black 0 Session 1 (2021-11-07),Session 1,Black 0,2021-11-07,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,,,14.100000000000001,700.7666666666672,311.6666666666666,89.76666666666664,279.4333333333334,333.8666666666668,8,251,165,115,148,303
Black 0 Session 1 (2021-11-09),Session 1,Black 0,2021-11-09,R1,Cohort 3,Before ABA,Susceptible,Yes,,,,,,51.7,190.9333333333333,233.63333333333335,33.56666666666666,42.23333333333334,95.93333333333335,22,60,55,40,34,87
Black 0 Session 2 (2021-08-16),Session 2,Black 0,2021-08-16,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,12.733333333333333,511.06666666666683,690.9,90.8666666666667,172.5333333333333,303.4999999999999,8,175,200,106,104,192
Black 0 Session 2 (2021-08-18),Session 2,Black 0,2021-08-18,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,23.46666666666666,739.4999999999999,721.8666666666664,48.76666666666667,73.46666666666668,241.7333333333334,14,173,157,52,53,146
Black 0 Session 2 (2021-08-19),Session 2,Black 0,2021-08-19,R1,Cohort 1,Before ABA,Resistant,Yes,,,,,,7.199999999999999,820.9666666666668,351.23333333333346,60.800000000000004,51.9,170.29999999999995,2,100,122,73,47,124
Black 0 Session 2 (2021-09-20),Session 2,Black 0,2021-09-20,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,40.26666666666667,659.566666666667,383.7333333333333,152.7666666666666,135.8,424.066666666667,17,235,239,202,118,376
Black 0 Session 2 (2021-09-22),Session 2,Black 0,2021-09-22,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,51.1,902.566666666666,510.96666666666664,44.800000000000004,64.86666666666665,256.0,20,272,214,58,44,232
Black 0 Session 2 (2021-09-29),Session 2,Black 0,2021-09-29,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,24.66666666666666,963.666666666667,510.56666666666666,42.90000000000001,43.600000000000016,242.10000000000014,14,188,155,50,38,179
Black 0 Session 2 (2021-09-30),Session 2,Black 0,2021-09-30,PD,Cohort 2,Before ABA,Susceptible,No,,,,,,5.033333333333333,1011.7333333333332,543.8666666666667,48.46666666666667,72.50000000000001,178.3,3,154,150,50,46,150
Black 0 Session 2 (2021-10-02),Session 2,Black 0,2021-10-02,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,126.1333333333333,1225.566666666667,257.80000000000007,5.533333333333333,34.900000000000006,144.66666666666663,36,132,69,6,19,95
Black 0 Session 2 (2021-10-03),Session 2,Black 0,2021-10-03,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,97.03333333333333,1500.1666666666672,114.73333333333333,0.5,30.266666666666666,76.60000000000002,31,105,37,1,9,58
Black 0 Session 2 (2021-10-04),Session 2,Black 0,2021-10-04,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,59.86666666666667,1289.533333333333,229.83333333333337,9.833333333333334,51.73333333333333,97.30000000000001,20,126,65,8,26,77
Black 0 Session 2 (2021-10-05),Session 2,Black 0,2021-10-05,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,88.63333333333333,1266.533333333333,228.93333333333337,10.6,45.6,135.60000000000005,27,188,80,10,17,127
Black 0 Session 2 (2021-10-06),Session 2,Black 0,2021-10-06,R1,Cohort 2,Before ABA,Susceptible,No,,,,,,62.36666666666667,1636.3333333333335,63.49999999999999,4.666666666666666,10.666666666666668,57.56666666666667,29,93,23,4,7,52
Black 0 Session 2 (2021-11-03),Session 2,Black 0,2021-11-03,PD,Cohort 3,Before ABA,Susceptible,Yes,,,,,,4.7666666666666675,144.90000000000006,411.5333333333334,71.40000000000003,114.76666666666664,200.53333333333327,2,65,129,95,66,178
